epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5686,3.33152,3.8318,4.23442,0.0079,0.43417,0.02193,0.00577,2.97196,3.72024,4.15672,0.00020006,0.00020006,0.00020006
2,120.125,3.27382,3.77825,4.1731,0.0079,0.42975,0.02873,0.00634,2.97449,3.71167,4.14569,0.000406205,0.000406205,0.000406205
3,190.872,3.22776,3.70181,4.12531,0.00793,0.42975,0.01475,0.00347,2.99955,3.69938,4.11875,0.000603861,0.000603861,0.000603861
4,267.647,3.24818,3.61942,4.02171,0.00794,0.44023,0.02196,0.00472,2.99244,3.61965,4.02305,0.000793029,0.000793029,0.000793029
5,325.788,3.16966,3.51202,3.89603,0.6721,0.08288,0.0271,0.00411,3.00856,3.86827,4.0238,0.000973709,0.000973709,0.000973709
6,384.339,3.07088,3.48439,3.75219,0.00728,0.35463,0.01914,0.00388,2.92341,4.80205,4.02256,0.0011459,0.0011459,0.0011459
7,441.834,2.92649,3.48138,3.60613,0.02662,0.27535,0.02097,0.00394,3.03217,5.14399,3.95183,0.00125923,0.00125923,0.00125923
8,499.244,2.82803,3.45191,3.47414,0.00411,0.27011,0.01148,0.00324,2.90299,3.68358,3.91204,0.00123094,0.00123094,0.00123094
9,556.405,2.72814,3.37473,3.36158,0.00708,0.43121,0.0139,0.00366,2.97846,3.53302,3.85734,0.00120265,0.00120265,0.00120265
10,618.484,2.64754,3.32986,3.26268,0.00527,0.4019,0.00592,0.00189,3.04339,3.9474,4.24148,0.00117435,0.00117435,0.00117435
11,676.455,2.60693,3.3648,3.18897,0.00747,0.44318,0.00998,0.0029,2.93655,3.82648,4.1428,0.00114606,0.00114606,0.00114606
12,734.892,2.49046,3.29143,3.1062,0.83144,0.01212,0.02477,0.01113,2.50369,3.60411,3.50161,0.00111776,0.00111776,0.00111776
13,793.807,2.52174,3.32507,3.05042,0.73623,0.08313,0.08743,0.03819,2.31484,3.51785,3.09583,0.00108947,0.00108947,0.00108947
14,854.19,2.44716,3.28331,3.00243,0.38471,0.21229,0.03563,0.01124,2.25858,3.23472,3.05872,0.00106118,0.00106118,0.00106118
15,914.782,2.41089,3.23117,2.94989,0.39758,0.08387,0.0362,0.01531,2.14416,3.49901,2.89444,0.00103288,0.00103288,0.00103288
16,976.654,2.36297,3.21674,2.88664,0.42393,0.12041,0.05246,0.01908,2.17075,4.36922,2.92353,0.00100459,0.00100459,0.00100459
17,1035.89,2.30015,3.13867,2.81602,0.40777,0.14824,0.0487,0.01615,2.23055,3.42733,2.87908,0.000976293,0.000976293,0.000976293
