epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9583,1.22293,3.19477,1.37124,0.00991,0.5359,0.06193,0.04145,1.13779,3.39022,1.22237,0.0004287,0.0004287,0.0004287
2,181.412,1.14004,2.4422,1.26113,0.12871,0.10197,0.08034,0.04647,1.30352,3.18704,1.32942,0.000854431,0.000854431,0.000854431
3,269.817,1.11056,2.26923,1.2608,0.16224,0.19425,0.11084,0.06763,1.18615,3.35046,1.32684,0.00126262,0.00126262,0.00126262
4,358.074,1.0843,2.12183,1.23257,0.23106,0.31001,0.18241,0.10355,1.38046,3.17343,1.48925,0.00134412,0.00134412,0.00134412
5,445.533,1.06693,2.03255,1.21388,0.21414,0.36771,0.22415,0.14233,1.17574,2.60521,1.31735,0.00131582,0.00131582,0.00131582
6,533.564,1.04354,1.88087,1.19557,0.28335,0.29691,0.2241,0.14286,1.15769,2.74521,1.25296,0.00128753,0.00128753,0.00128753
7,651.53,1.0471,1.88881,1.19345,0.42702,0.28298,0.24984,0.17434,1.05527,2.47383,1.22,0.00125923,0.00125923,0.00125923
8,776.265,0.99582,1.77899,1.16414,0.2872,0.36991,0.25104,0.17529,0.99703,2.5546,1.17028,0.00123094,0.00123094,0.00123094
9,873.729,0.97642,1.69963,1.15103,0.24549,0.50344,0.26992,0.19084,0.99755,2.72685,1.16323,0.00120265,0.00120265,0.00120265
10,967.495,0.96633,1.71711,1.16015,0.22052,0.38817,0.22232,0.15918,0.98707,2.7034,1.1131,0.00117435,0.00117435,0.00117435
11,1056.83,0.95239,1.65876,1.14857,0.27561,0.3907,0.24011,0.16291,1.00815,2.40251,1.17064,0.00114606,0.00114606,0.00114606
12,1143.41,0.95387,1.60377,1.14254,0.28017,0.48586,0.2747,0.19927,0.92931,3.25171,1.12543,0.00111776,0.00111776,0.00111776
13,1230.42,0.9439,1.56143,1.13105,0.18912,0.49551,0.18851,0.13162,0.98342,3.13943,1.15129,0.00108947,0.00108947,0.00108947
14,1317.15,0.94059,1.59474,1.12365,0.24643,0.42379,0.26146,0.17921,1.02284,2.44156,1.21738,0.00106118,0.00106118,0.00106118
15,1404.52,0.9094,1.54496,1.12359,0.29885,0.43384,0.29905,0.21502,0.94581,2.26178,1.12824,0.00103288,0.00103288,0.00103288
16,1491.39,0.90106,1.49136,1.11075,0.24945,0.37644,0.242,0.17256,0.935,2.33184,1.12199,0.00100459,0.00100459,0.00100459
17,1578.43,0.88407,1.47475,1.10143,0.26939,0.40514,0.26504,0.19728,0.88082,2.28271,1.08638,0.000976293,0.000976293,0.000976293
18,1667.7,0.87567,1.41278,1.09682,0.31856,0.38432,0.2817,0.21206,0.91574,2.35636,1.11141,0.000947999,0.000947999,0.000947999
19,1755.36,0.87726,1.47836,1.10407,0.29451,0.39068,0.28443,0.20167,0.91723,2.22054,1.12861,0.000919704,0.000919704,0.000919704
20,1843.67,0.84692,1.39292,1.09089,0.41617,0.35566,0.34559,0.25479,0.91496,2.07969,1.11032,0.00089141,0.00089141,0.00089141
21,1931.03,0.85849,1.41214,1.0797,0.24476,0.49643,0.26979,0.20519,0.8654,2.1621,1.08283,0.000863116,0.000863116,0.000863116
22,2018.62,0.84522,1.35784,1.08961,0.29226,0.38401,0.29002,0.22,0.86377,2.42393,1.07318,0.000834822,0.000834822,0.000834822
23,2106.77,0.84262,1.39113,1.08976,0.27806,0.32483,0.26471,0.19963,0.86536,2.26982,1.08364,0.000806528,0.000806528,0.000806528
24,2194.51,0.80614,1.27978,1.05859,0.27021,0.46682,0.27342,0.21119,0.82088,2.5148,1.06612,0.000778233,0.000778233,0.000778233
25,2281.8,0.82405,1.29687,1.07876,0.35015,0.33037,0.2736,0.20343,0.88455,2.50381,1.09509,0.000749939,0.000749939,0.000749939
26,2369.13,0.81902,1.28226,1.06562,0.3723,0.33767,0.339,0.26085,0.82686,2.31221,1.06305,0.000721645,0.000721645,0.000721645
27,2456.22,0.80693,1.27295,1.06362,0.25867,0.38426,0.25926,0.19966,0.82111,2.41489,1.06519,0.000693351,0.000693351,0.000693351
28,2543.46,0.79941,1.24834,1.0557,0.35343,0.48157,0.34532,0.2665,0.81857,2.25045,1.05855,0.000665057,0.000665057,0.000665057
